"geo","geo_tipo","regiao","atividade","macrossetor","ano","vab_nominal","vab_lo95","vab_hi95","tipo"
"Acre","estado","Norte","adm_publica","adm_publica",2002,,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2003,1182.41775878567,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2004,1301.39772743306,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2005,1485.77852081115,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2006,1731.40930543727,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2007,1971.07199781924,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2008,2256.64981228719,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2009,2510.95073094449,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2010,2761.74504392683,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2011,3004.14186291283,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2012,3420.68685934309,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2013,3949.2403433182,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2014,4357.51886428376,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2015,4538.13954993387,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2016,4879.11910924421,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2017,5190.09212640059,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2018,5457.21066289914,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2019,5673.90034922669,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2020,6031.05052040405,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2021,6633.28319393463,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2022,7725.97106052661,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2023,9215.63422983988,,,"Histórico"
"Acre","estado","Norte","adm_publica","adm_publica",2024,10721.5374008827,9934.64068229252,11508.4341194729,"Projetado"
"Acre","estado","Norte","adm_publica","adm_publica",2025,12130.0213284405,10050.1091133171,14398.3902350421,"Projetado"
"Acre","estado","Norte","adm_publica","adm_publica",2026,21217.4433999176,15257.9395527211,28510.9616883088,"Projetado"
"Acre","estado","Norte","adm_publica","adm_publica",2027,3600.13183734508,2187.17087498382,5588.41778554533,"Projetado"
"Acre","estado","Norte","adm_publica","adm_publica",2028,23296.9391511283,11656.3951616371,42543.6766225549,"Projetado"
"Acre","estado","Norte","adm_publica","adm_publica",2029,54.1325958817661,21.7659947096181,118.266509417094,"Projetado"
"Acre","estado","Norte","adm_publica","adm_publica",2030,34642.5315261425,10929.5001491454,91985.0220690554,"Projetado"
"Acre","estado","Norte","adm_publica","adm_publica",2031,0.698814878190788,0.168969430260526,2.28899113399238,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2002,284.33718763832,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2003,381.30007166437,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2004,344.64977365064,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2005,411.3536633785,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2006,359.33653344137,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2007,380.4072302979,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2008,500.64117595288,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2009,502.61307065846,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2010,784.37471705443,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2011,862.62532701196,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2012,957.22930391057,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2013,1182.07098822086,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2014,1324.89058386807,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2015,1346.47749607213,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2016,1457.71374809395,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2017,1342.1872534344,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2018,1211.59686391269,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2019,1044.95769694501,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2020,983.53181408167,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2021,3637.87089649766,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2022,4667.894475948,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2023,4097.79138177025,,,"Histórico"
"Acre","estado","Norte","agropecuaria","agropecuaria",2024,7239.85669557406,1630.94886375109,15321.4675706613,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2025,12582.4065746497,551.219431434845,61042.8234229364,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2026,34191.0653033365,255.178152063146,403134.916183199,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2027,9112.83915109688,10.1818630568922,273823.472961257,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2028,93639.9170060301,13.7341700317271,7467324.8271013,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2029,349.20018750257,0.0058605511390965,76586.5488799404,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2030,362429.282453298,0.600980041579342,225714827.55155,"Projetado"
"Acre","estado","Norte","agropecuaria","agropecuaria",2031,11.9795033484169,1.67194032730455e-06,21809.8201911819,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2002,278.54936877318,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2003,360.90074269546,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2004,420.11981969767,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2005,558.2516036,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2006,519.72263998721,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2007,652.28030550259,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2008,993.75037236232,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2009,998.28106746407,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2010,1038.2700559826,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2011,1193.35164469955,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2012,1347.21372519386,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2013,1561.0553992857,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2014,1942.78755265863,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2015,1891.90125493826,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2016,1758.72685610772,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2017,1772.03930482813,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2018,1784.20150471949,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2019,1792.14758797995,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2020,2102.90099306871,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2021,2455.00555121523,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2022,2375.97442656461,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2023,2756.65073176484,,,"Histórico"
"Acre","estado","Norte","comercio_veiculos","servicos",2024,3024.48958965333,1947.83733005733,4306.54470732428,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2025,3214.97118948494,1333.45470154633,6518.24706264921,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2026,5264.0140958862,1406.10844273326,15196.6423254368,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2027,832.999626053015,143.300323086768,3424.14597503624,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2028,5008.7289980764,554.920141466169,29316.4827753678,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2029,10.7744602159146,0.768774671831097,89.7959435969239,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2030,6360.12791731923,292.260407767115,75475.1375412162,"Projetado"
"Acre","estado","Norte","comercio_veiculos","servicos",2031,0.117911261258811,0.0034894743566191,1.99237100903993,"Projetado"
"Acre","estado","Norte","construcao","industria",2002,266.61470944462,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2003,193.8923398071,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2004,284.11342199242,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2005,213.97954621731,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2006,252.83791016763,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2007,264.40345264796,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2008,301.42873858731,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2009,719.6440304804,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2010,685.41198965052,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2011,629.80080714836,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2012,653.78839619514,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2013,650.56921176058,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2014,921.96313611441,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2015,675.90330992162,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2016,572.63264620758,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2017,495.32930499323,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2018,519.79944800028,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2019,544.256823207,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2020,556.98752094101,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2021,629.31313088138,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2022,591.56197091941,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2023,841.159249999041,,,"Histórico"
"Acre","estado","Norte","construcao","industria",2024,1023.5484411222,359.697227688898,2021.19425175578,"Projetado"
"Acre","estado","Norte","construcao","industria",2025,1116.18262589633,126.196253574692,4523.81037653985,"Projetado"
"Acre","estado","Norte","construcao","industria",2026,2004.12956326257,69.5287189840439,16984.5962761288,"Projetado"
"Acre","estado","Norte","construcao","industria",2027,334.349581747415,3.39762688331587,6026.435791064,"Projetado"
"Acre","estado","Norte","construcao","industria",2028,2193.86282422863,6.58773390984367,83828.6952401132,"Projetado"
"Acre","estado","Norte","construcao","industria",2029,5.06681503266687,0.00441410387574359,413.03634299032,"Projetado"
"Acre","estado","Norte","construcao","industria",2030,3269.17530814398,0.835870937915523,566177.350499515,"Projetado"
"Acre","estado","Norte","construcao","industria",2031,0.065898417650178,4.91460355694453e-06,24.295270495052,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2002,29.38477546261,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2003,33.60671901065,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2004,38.50723481856,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2005,63.41592288751,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2006,50.56508801612,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2007,57.33859503441,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2008,56.84304705222,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2009,76.07652775023,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2010,79.15346177492,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2011,73.83712325857,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2012,74.50893535046,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2013,73.6056515423401,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2014,117.52825448968,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2015,194.53799579133,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2016,146.1912072874,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2017,224.60052386029,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2018,268.34651335027,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2019,164.10053828552,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2020,315.54561046566,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2021,419.03345874522,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2022,175.35932105737,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2023,280.821700601605,,,"Histórico"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2024,315.029149189275,68.3483420534401,641.052293679127,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2025,348.566826132584,16.4892317265568,1439.41832835766,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2026,634.557111282178,6.50236060264452,5346.2779045645,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2027,110.826119782207,0.245858728922622,1906.9214969041,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2028,713.191645321551,0.338944611213418,25258.0295658876,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2029,1.64873524213405,0.000168144967780597,120.097281044432,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2030,1061.96525775432,0.0233109803335219,158834.524553659,"Projetado"
"Acre","estado","Norte","eletricidade_gas_agua","industria",2031,0.0214484900475821,1.01357304704647e-07,6.58816896703507,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2002,,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2003,57.72831314559,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2004,57.68974454091,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2005,73.71693142372,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2006,85.83664228757,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2007,94.70980438154,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2008,100.92098023601,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2009,112.48439767488,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2010,151.85106064938,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2011,156.04874115409,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2012,172.83932879321,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2013,213.16235539754,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2014,287.6203700328,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2015,350.50905321574,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2016,402.77749055625,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2017,426.29312476076,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2018,495.34631210926,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2019,473.95673397317,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2020,486.57374805955,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2021,703.99657817345,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2022,625.01183369734,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2023,751.896912126681,,,"Histórico"
"Acre","estado","Norte","financeiro_seguros","servicos",2024,802.526550396904,693.596366610735,911.456734183073,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2025,835.811531696694,583.700764281475,1131.47659592791,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2026,1340.34388849448,715.984760011681,2241.06767938218,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2027,207.739954135539,80.8455531503984,441.635766338669,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2028,1223.42786743539,331.611054908563,3390.29223127887,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2029,2.57763836654718,0.466377334504537,9.5179010257839,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2030,1490.28024971345,172.806904712741,7479.01639262795,"Projetado"
"Acre","estado","Norte","financeiro_seguros","servicos",2031,0.0270603251368635,0.00193315900214898,0.187939737811067,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2002,,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2003,389.45013946097,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2004,438.54698343473,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2005,454.15211695224,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2006,465.58120187154,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2007,536.28152365142,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2008,601.18636767016,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2009,646.65329776017,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2010,703.31324916922,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2011,776.24225088045,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2012,793.48039157184,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2013,890.65764666273,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2014,1067.23834945278,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2015,1108.33560872674,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2016,1213.24143280528,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2017,1164.15113478197,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2018,1489.12225682519,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2019,1683.42889499155,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2020,1833.20399463773,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2021,2018.71348850683,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2022,2119.76061363514,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2023,2276.28529421435,,,"Histórico"
"Acre","estado","Norte","imobiliaria","servicos",2024,2482.50442191453,2068.42190527168,2929.15657041098,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2025,2628.79978585225,1824.18567529685,3661.0862329373,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2026,4297.2179991139,2482.35506654782,7066.35496575213,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2027,680.378266928697,327.02725463032,1321.53299063032,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2028,4102.15208198854,1639.77400750887,9415.22500217958,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2029,8.86746758925849,2.94633587262481,24.0596622170849,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2030,5271.43719084948,1455.0702397705,16915.1967852264,"Projetado"
"Acre","estado","Norte","imobiliaria","servicos",2031,0.0986313039285605,0.0226044679997698,0.374468547344147,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2002,1.58475993689,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2003,3.29970773203,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2004,3.40012914051,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2005,2.78214116016,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2006,7.6128382429,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2007,21.91043485043,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2008,24.22547211993,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2009,18.19840367491,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2010,12.90523918465,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2011,13.41338405155,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2012,9.77955816676,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2013,-0.70338692288,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2014,3.80746827201,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2015,3.53216316544,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2016,2.30367512582,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2017,1.59782892519,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2018,4.53585694312,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2019,4.209086787,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2020,2.11483227779,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2021,2.23981024467,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2022,-0.08882263558,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2023,3.44686045176935,,,"Histórico"
"Acre","estado","Norte","ind_extrativa","industria",2024,-58.2002409763024,-9.46151089625723,-106.938971056348,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2025,952.095486587317,25.1623916162355,3214.42238565484,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2026,-23991.1572136741,-103.07617547038,-148828.071560674,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2027,58426.4758823431,40.8086726087175,665969.853967187,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2028,-5406586.45211496,-613.905599987211,-113234626.78483,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2029,178987.157650479,3.30396904427977,6887937.46963554,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2030,-1626008951.36373,-4879.47024711866,-114974487061.524,"Projetado"
"Acre","estado","Norte","ind_extrativa","industria",2031,463920.003173803,0.226322886528776,60274396.7555045,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2002,57.45693423986,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2003,64.30196757768,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2004,93.7932245353,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2005,135.72393693331,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2006,126.05752622155,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2007,254.82151189295,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2008,203.58442939268,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2009,160.42075807972,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2010,314.15089280712,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2011,225.61407808848,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2012,301.26931832729,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2013,383.59242020976,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2014,358.21795033586,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2015,374.81828688473,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2016,354.46376793913,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2017,301.56794262446,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2018,300.31237362602,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2019,285.10956428334,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2020,316.69741439904,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2021,321.2295757908,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2022,576.98304205931,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2023,790.788802028959,,,"Histórico"
"Acre","estado","Norte","ind_transformacao","industria",2024,926.244364130148,354.72348318148,1497.76524507882,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2025,1054.63633820058,154.168983254062,2759.80315234553,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2026,1855.88099756175,103.182249177685,7865.96549929391,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2027,316.691010875891,6.67035825187551,2176.02003714329,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2028,2060.25936774038,16.37047279324,22972.1396197707,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2029,4.81098615650106,0.0143561514401724,87.1406384670744,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2030,3093.0339219246,3.44957141042212,91108.6676893231,"Projetado"
"Acre","estado","Norte","ind_transformacao","industria",2031,0.0626593170532746,2.59854119302391e-05,3.00508017980705,"Projetado"
"Acre","estado","Norte","informacao_comunicacao","servicos",2002,,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2003,41.33128002118,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2004,51.48790539263,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2005,59.55473343895,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2006,64.74059888381,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2007,58.00433117241,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2008,98.79621116785,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2009,139.38844260495,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2010,111.20919882898,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2011,119.57880211414,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2012,117.16364688768,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2013,73.33447050711,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2014,150.82257017422,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2015,162.6738182774,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2016,160.6961047407,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2017,183.36250855945,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2018,181.10372887403,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2019,200.55543702229,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2020,186.33106905552,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2021,184.22041698007,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2022,229.88977401509,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2023,225.826168914404,,,"Histórico"
"Acre","estado","Norte","informacao_comunicacao","servicos",2024,285.006606767357,285.006606767357,285.006606767357,"Projetado"
"Acre","estado","Norte","informacao_comunicacao","servicos",2025,293.832338496859,293.832338496859,293.832338496859,"Projetado"
"Acre","estado","Norte","informacao_comunicacao","servicos",2026,383.861523800032,383.861523800032,383.861523800032,"Projetado"
"Acre","estado","Norte","informacao_comunicacao","servicos",2027,44.271576604743,44.271576604743,44.271576604743,"Projetado"
